*       Citation
*       
*       A citation to
*  the MCM website and the relevant mechanism construction
*  protocols should be given in any publication using
*  information obtained from this source, using the following
*  or comparable wording:
*       
* The chemical mechanistic
*  information was taken from the Master Chemical Mechanism,
*  MCM v3.3.1 (reference), via  website:
*  http://mcm.york.ac.uk/
* 
* The reference should be: 
* 
* 
*  For non-aromatic schemes:
*    
*       Jenkin et al.,
*  Atmos. Environ., 31, 81, 1997
*  [doi:10.1016/S1352-2310(96)00105-7]
*       Saunders et
*  al., Atmos. Chem. Phys., 3, 161, 2003
*  [doi:10.5194/acp-3-161-2003]
*    
*    For aromatic
*  schemes:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  3, 181, 2003 [doi:10.5194/acp-3-181-2003]
*       Bloss et
*  al., Atmos. Chem. Phys., 5, 641, 2005
*  [doi:10.5194/acp-5-641-2005]
*    
*    For the
*  β-caryophyllene scheme:
*    
*       Jenkin et al.,
*  Atmos. Chem. Phys.,  12, 5275, 2012
*  [doi:10.5194/acp-12-5275-2012]
*    
*    For the isoprene
*  scheme:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  15, 11433-11459, 2015 [doi:10.5194/acp-15-11433-2015]
* Selected VOCs: APINENE
Name	Smiles	Inchi	InchiKey	Formula	Mass	Excited	PeroxyRadical	Synonyms
C108O	O=CCC(CC(=O)C(=O)C)C(C)(C)[O]	InChI=1S/C10H15O4/c1-7(12)9(13)6-8(4-5-11)10(2,3)14/h5,8H,4,6H2,1-3H3	IAUQVKZJALVSDL-UHFFFAOYSA-N	C10H15O4	199.2237	false	false	
C108O2	O=CCC(CC(=O)C(=O)C)C(C)(C)O[O]	InChI=1S/C10H15O5/c1-7(12)9(13)6-8(4-5-11)10(2,3)15-14/h5,8H,4,6H2,1-3H3	NQKBSIAXECULSA-UHFFFAOYSA-N	C10H15O5	215.2231	false	true	
C108OH	O=CCC(CC(=O)C(=O)C)C(C)(C)O	InChI=1S/C10H16O4/c1-7(12)9(13)6-8(4-5-11)10(2,3)14/h5,8,14H,4,6H2,1-3H3	ZDBVABFEYYIFLR-UHFFFAOYSA-N	C10H16O4	200.2316	false	false	
C108OOH	O=CCC(CC(=O)C(=O)C)C(C)(C)OO	InChI=1S/C10H16O5/c1-7(12)9(13)6-8(4-5-11)10(2,3)15-14/h5,8,14H,4,6H2,1-3H3	AIXQDYAMZUITKH-UHFFFAOYSA-N	C10H16O5	216.231	false	false	5-(2-Hydroperoxypropane-2-yl)heptane-2,3,7-trione; J3.659.716J
C109CO	O=CCC1CC(C(=O)C=O)C1(C)C	InChI=1S/C10H14O3/c1-10(2)7(3-4-11)5-8(10)9(13)6-12/h4,6-8H,3,5H2,1-2H3	GPWOGFGLGKGEOT-UHFFFAOYSA-N	C10H14O3	182.2164	false	false	
C109O	O=CCC1CC(C(=O)C[O])C1(C)C	InChI=1S/C10H15O3/c1-10(2)7(3-4-11)5-8(10)9(13)6-12/h4,7-8H,3,5-6H2,1-2H3	MUZUPTSIJFZFBD-UHFFFAOYSA-N	C10H15O3	183.2243	false	false	
C109O2	[O]OCC(=O)C1CC(CC=O)C1(C)C	InChI=1S/C10H15O4/c1-10(2)7(3-4-11)5-8(10)9(12)6-14-13/h4,7-8H,3,5-6H2,1-2H3	FMFKTOVJTZCSHV-UHFFFAOYSA-N	C10H15O4	199.2237	false	true	
C109OH	O=CCC1CC(C(=O)CO)C1(C)C	InChI=1S/C10H16O3/c1-10(2)7(3-4-11)5-8(10)9(13)6-12/h4,7-8,12H,3,5-6H2,1-2H3	PUENXTSKKXKPMK-UHFFFAOYSA-N	C10H16O3	184.2322	false	false	2,2-Dimethyl-3-glycoloylcyclobutaneacetaldehyde; 2,2-dimethyl-3-hydroxyacetyl-cyclobutyl-ethanal
C109OOH	OOCC(=O)C1CC(CC=O)C1(C)C	InChI=1S/C10H16O4/c1-10(2)7(3-4-11)5-8(10)9(12)6-14-13/h4,7-8,13H,3,5-6H2,1-2H3	ODTCGEGBAGAWAJ-UHFFFAOYSA-N	C10H16O4	200.2316	false	false	1-[2,2-Dimethyl-3-(2-oxoethyl)cyclobutyl]-2-hydroperoxyethanone; J3.659.720H
C10PAN2	O=N(=O)OOC(=O)CC1CC(C(=O)C)C1(C)C	InChI=1S/C10H15NO6/c1-6(12)8-4-7(10(8,2)3)5-9(13)16-17-11(14)15/h7-8H,4-5H2,1-3H3	XGWGKMXMXMPDAK-UHFFFAOYSA-N	C10H15NO6	245.2292	false	false	
C235C6CO3H	OOC(=O)CC(=O)CC(=O)C(=O)C	InChI=1S/C7H8O6/c1-4(8)6(10)2-5(9)3-7(11)13-12/h12H,2-3H2,1H3	MCULIRAVDBAPRO-UHFFFAOYSA-N	C7H8O6	188.1348	false	false	
C312COCO3	[O]OC(=O)CC(=O)C=O	InChI=1S/C4H3O5/c5-2-3(6)1-4(7)9-8/h2H,1H2	XWAMFAXFAPJGJO-UHFFFAOYSA-N	C4H3O5	131.0636	false	true	
C312COCO3H	OOC(=O)CC(=O)C=O	InChI=1S/C4H4O5/c5-2-3(6)1-4(7)9-8/h2,8H,1H2	GUGBJTDAGNLAJO-UHFFFAOYSA-N	C4H4O5	132.0716	false	false	
C312COPAN	O=CC(=O)CC(=O)OON(=O)=O	InChI=1S/C4H3NO7/c6-2-3(7)1-4(8)11-12-5(9)10/h2H,1H2	RRBQALAYWSLXKO-UHFFFAOYSA-N	C4H3NO7	177.0691	false	false	
C33CO	O=CC(=O)C=O	InChI=1S/C3H2O3/c4-1-3(6)2-5/h1-2H	ICQNCHSXWNQIHC-UHFFFAOYSA-N	C3H2O3	86.0462	false	false	MESOXALALDEHYDE; 497-16-5; Oxopropanedial; 1,2,3-Propanetrione; 2-oxopropanedial
C3PAN2	O=CCC(=O)OON(=O)=O	InChI=1S/C3H3NO6/c5-2-1-3(6)9-10-4(7)8/h2H,1H2	JCWPFKBPQPIIIA-UHFFFAOYSA-N	C3H3NO6	149.059	false	false	
C413COOOH	OOCC(=O)CC=O	InChI=1S/C4H6O4/c5-2-1-4(6)3-8-7/h2,7H,1,3H2	XUKQQLOKOLCMAI-UHFFFAOYSA-N	C4H6O4	118.088	false	false	
C44O	O=CCC([O])C(=O)O	InChI=1S/C4H5O4/c5-2-1-3(6)4(7)8/h2-3H,1H2,(H,7,8)	ASYHQZPOPXBOAP-UHFFFAOYSA-N	C4H5O4	117.0801	false	false	
C44O2	O=CCC(O[O])C(=O)O	InChI=1S/C4H5O5/c5-2-1-3(9-8)4(6)7/h2-3H,1H2,(H,6,7)	PWZDAEJEAMJUNP-UHFFFAOYSA-N	C4H5O5	133.0795	false	true	
C44OOH	O=CCC(OO)C(=O)O	InChI=1S/C4H6O5/c5-2-1-3(9-8)4(6)7/h2-3,8H,1H2,(H,6,7)	RIVXGQNQRYOWAN-UHFFFAOYSA-N	C4H6O5	134.0874	false	false	
C4CODIAL	O=CCC(=O)C=O	InChI=1S/C4H4O3/c5-2-1-4(7)3-6/h2-3H,1H2	OWIMZZMOFXSCLT-UHFFFAOYSA-N	C4H4O3	100.0728	false	false	4-butadional; SCHEMBL1292866
