TREF TMECH 298.0 298.0
DO6001    5.38E-11  5.38E-11 SAR, SAR
KO5001    3.83E-12  3.83E-12 SAR, SAR
HD0003    5.09E-11  5.09E-11 SAR, SAR
NU9004    1.01E-10  1.01E-10 SAR, SAR
KK9001    4.55E-11  4.55E-11 SAR, SAR
DK0001    7.30E-11  7.30E-11 SAR, SAR
NK9005    2.09E-11  2.09E-11 SAR, SAR
TT9002    1.42E-10  1.42E-10 SAR, SAR
TT000A    9.66E-11  9.66E-11 SAR, SAR
TT0005    3.88E-11  3.88E-11 SAR, SAR
TK0001    1.78E-11  1.78E-11 SAR, SAR
DK0002    5.17E-11  5.17E-11 SAR, SAR
HD0006    5.36E-11  5.36E-11 SAR, SAR
KK9003    5.46E-11  5.46E-11 SAR, SAR
DK9004    5.96E-11  5.96E-11 SAR, SAR
KK8000    1.83E-12  1.83E-12 SAR, SAR
OO6001    4.51E-11  4.51E-11 SAR, SAR
DK4000    1.84E-11  1.84E-11 SAR, SAR
OO5000    4.76E-11  4.76E-11 SAR, SAR
TU9003    1.40E-10  1.40E-10 SAR, SAR
TU9001    1.87E-10  1.87E-10 SAR, SAR
TU0004    4.16E-11  4.16E-11 SAR, SAR
TT0006    1.21E-10  1.21E-10 SAR, SAR
KK9002    4.99E-11  4.99E-11 SAR, SAR
HD9000    3.37E-11  3.37E-11 SAR, SAR
KK8001    5.23E-11  5.23E-11 SAR, SAR
KK8002    3.92E-12  3.92E-12 SAR, SAR
UD9008    1.14E-10  1.14E-10 SAR, SAR
UD9005    1.41E-10  1.41E-10 SAR, SAR
UD9003    1.27E-10  1.27E-10 SAR, SAR
UD8002    6.90E-11  6.90E-11 SAR, SAR
UD8000    8.35E-11  8.35E-11 SAR, SAR
KO4000    1.20E-11  2.32E-11 DATA, SAR
DK9000    3.07E-11  3.07E-11 SAR, SAR
UD9001    8.46E-11  8.46E-11 SAR, SAR
HD9001    5.27E-11  5.27E-11 SAR, SAR
KK8003    5.79E-11  5.79E-11 SAR, SAR
UD9009    3.21E-10  3.21E-10 SAR, SAR
UD9007    1.70E-10  1.70E-10 SAR, SAR
UD9006    1.80E-10  1.80E-10 SAR, SAR
UD9004    1.72E-10  1.72E-10 SAR, SAR
UD9002    8.92E-11  8.92E-11 SAR, SAR
UD8003    2.34E-10  2.34E-10 SAR, SAR
UD8001    1.79E-10  1.79E-10 SAR, SAR
KO9000    3.00E-11  3.00E-11 SAR, SAR
EH3000    9.24E-12  9.24E-12 SAR, SAR
EH2000    5.53E-12  5.53E-12 SAR, SAR
AH2000    4.76E-12  4.76E-12 SAR, SAR
TP0001    4.63E-12  4.63E-12 SAR, SAR
TH9003    1.10E-11  1.10E-11 SAR, SAR
TP900C    3.14E-12  3.14E-12 SAR, SAR
TH800B    9.75E-12  9.75E-12 SAR, SAR
PK8000    6.65E-12  6.65E-12 SAR, SAR
HK7000    1.75E-11  1.75E-11 SAR, SAR
HD8008    3.20E-11  3.20E-11 SAR, SAR
TT000S    9.04E-12  9.04E-12 SAR, SAR
KK6000    1.38E-11  1.38E-11 SAR, SAR
HK7001    3.16E-11  3.16E-11 SAR, SAR
TH900B    2.10E-11  2.10E-11 SAR, SAR
HD9007    2.62E-11  2.62E-11 SAR, SAR
DD4000    3.51E-11  3.51E-11 SAR, SAR
TH0041    5.32E-12  5.32E-12 SAR, SAR
TG0001    8.66E-12  8.66E-12 SAR, SAR
TT000Z    8.61E-12  8.61E-12 SAR, SAR
TH7001    1.86E-11  1.86E-11 SAR, SAR
TH000P    1.10E-11  1.10E-11 SAR, SAR
PN7003    1.85E-12  1.85E-12 SAR, SAR
TT000Q    7.43E-12  7.43E-12 SAR, SAR
TG9001    7.24E-12  7.24E-12 SAR, SAR
GK8000    1.21E-11  1.21E-11 SAR, SAR
TT003M    6.03E-12  6.03E-12 SAR, SAR
TK0007    6.80E-12  6.80E-12 SAR, SAR
TT000g    2.73E-11  2.73E-11 SAR, SAR
TH000T    1.68E-11  1.68E-11 SAR, SAR
HN6008    7.64E-12  7.64E-12 SAR, SAR
HK3000    6.00E-12  6.00E-12 SAR, SAR
HD6004    3.91E-11  3.91E-11 SAR, SAR
PH0000    7.74E-12  7.74E-12 SAR, SAR
HH9001    1.38E-11  1.38E-11 SAR, SAR
ND8001    2.53E-11  2.53E-11 SAR, SAR
TP9005    2.63E-12  2.63E-12 SAR, SAR
TP8002    3.00E-11  3.00E-11 SAR, SAR
TP8001    8.97E-12  8.97E-12 SAR, SAR
HK9005    2.20E-11  2.20E-11 SAR, SAR
PH0001    1.14E-11  1.14E-11 SAR, SAR
HH9003    1.64E-11  1.64E-11 SAR, SAR
TN8001    2.13E-12  2.13E-12 SAR, SAR
PH7001    1.42E-11  1.42E-11 SAR, SAR
HH6003    1.75E-11  1.75E-11 SAR, SAR
PK7000    9.76E-13  9.76E-13 SAR, SAR
DK7005    1.40E-11  1.40E-11 SAR, SAR
TP0002    1.04E-11  1.04E-11 SAR, SAR
TH9008    3.91E-11  3.91E-11 SAR, SAR
TH9007    1.67E-11  1.67E-11 SAR, SAR
PH7002    2.86E-11  2.86E-11 SAR, SAR
HH6004    2.81E-11  2.81E-11 SAR, SAR
TP800B    2.60E-12  2.60E-12 SAR, SAR
TA7001    9.29E-12  9.29E-12 SAR, SAR
PA7000    3.77E-12  3.77E-12 SAR, SAR
AH7004    2.88E-11  2.88E-11 SAR, SAR
AH6001    1.36E-11  1.36E-11 SAR, SAR
TP8004    9.47E-12  9.47E-12 SAR, SAR
TH700F    3.66E-11  3.66E-11 SAR, SAR
TH700E    1.58E-11  1.58E-11 SAR, SAR
HN001V    6.52E-12  6.52E-12 SAR, SAR
TH003z    1.36E-11  1.36E-11 SAR, SAR
TN9003    3.58E-12  3.58E-12 SAR, SAR
HK6001    6.77E-12  6.77E-12 SAR, SAR
TH000S    2.73E-11  2.73E-11 SAR, SAR
TT003T    5.78E-12  5.78E-12 SAR, SAR
TH7006    3.82E-11  3.82E-11 SAR, SAR
TH003w    1.43E-11  1.43E-11 SAR, SAR
DK8006    3.50E-11  3.50E-11 SAR, SAR
HD000A    3.27E-11  3.27E-11 SAR, SAR
TP900V    6.73E-12  6.73E-12 SAR, SAR
TG8003    3.41E-11  3.41E-11 SAR, SAR
TG8002    1.31E-11  1.31E-11 SAR, SAR
AD2000    1.34E-11  1.34E-11 SAR, SAR
TN900B    1.55E-11  1.55E-11 SAR, SAR
AK5000    1.08E-11  1.08E-11 SAR, SAR
AH6002    2.35E-11  2.35E-11 SAR, SAR
