    5694  ! number of records (species) in the file
! Diffusion volume computed using the Fuller et al. approach,
! as described in Poling et al. book (5th edition, 2004)
GND700R    171.80
GND4009    110.24
GGN9000    226.55
GPN9000    241.00
GHN2000     84.55
GND900W    225.06
GND900A    218.95
GAN800E    204.54
GND9013    225.06
GNU900H    220.44
GNU700T    177.91
GNN900t    239.51
GNN700Q    198.47
GNN900z    234.89
GNN700p    192.36
GHN901L    231.17
GHN700T    190.13
GHN901r    226.55
GHN701S    184.02
GND7019    177.91
GNN3002    113.41
GHN3004    105.07
GND4007    114.86
GGN4003    127.08
GPN4004    141.53
GND700s    184.02
GNN700h    198.47
GHN701C    190.13
GND700r    177.91
GND600R    158.88
GNU700K    171.80
GND3003     94.34
GPN3000    121.01
GNU800Q    193.81
GNU900J    220.44
GNN9011    234.89
GHN901s    226.55
GNU900G    214.33
GNU900I    215.82
GNU700V    177.91
GNN700q    192.36
GHN701T    184.02
GNU700R    171.80
GNU600A    151.28
GNU700U    173.29
GNU5000    130.76
GNN900V    239.51
GAN800C    218.99
GNN9009    239.51
GNN9001    253.96
GNN7004    212.92
GHN901J    245.62
GNN700b    192.36
GNN4002    135.42
GNN4001    129.31
GNN700g    192.36
GNN600M    173.33
GNN700j    186.25
GNN3001    108.79
GGN3000    121.01
GPN3001    135.46
GHN4007    141.53
GNN4006    130.80
GNN900y    228.78
GNN700k    186.25
GHN900z    231.17
GAH800V    210.65
GHN8003    204.54
GHN9026    231.17
GHN901i    245.62
GHH900v    237.28
GHN700c    184.02
GHN4001    120.97
GHN701B    184.02
GHN600i    164.99
GHN900u    220.44
GHN7014    177.91
GHN3002    100.45
GHN901q    220.44
GHN7015    177.91
GND2000     67.71
GGN2000     79.93
GPN2000     94.38
GAN800M    206.03
GND900V    220.44
GAH800W    210.65
GAN800D    199.92
GND900S    220.44
GNN900s    234.89
GNN700R    198.47
GNN7001    212.92
GHN901K    226.55
GHN700U    190.13
GTN001U    234.85
GTN001T    249.30
GTH003k    240.96
GTN001V    249.30
GTH003l    240.96
GTN001W    230.23
GTH901B    218.95
GTN900R    208.22
GTH0035    240.96
GTN002K    230.23
GHN600f    163.50
GND701A    177.91
GNN700a    192.36
GHN700b    184.02
GND500H    130.76
GND700Y    173.29
GND600Y    152.77
GND000U    245.58
GNN0005    260.03
GHN000j    251.69
GND901E    220.44
GND500L    136.87
GND700j    179.40
GNN4005    149.87
GNN900k    234.89
GNN5007    151.32
GNN700d    193.85
GHN900v    226.55
GHN500E    142.98
GHN7013    185.51
GND4002    110.24
GND700q    173.29
GND600Q    154.26
GNU700D    167.18
GND3002     89.72
GHN000l    247.07
GND900a    215.82
GND500I    132.25
GND700i    174.78
GNU900F    209.71
GNU7001    167.18
GNU4000    104.13
GNU6005    146.66
GNU7009    168.67
GNU900E    214.33
