    5694  ! number of records (species) in the file
GNN700o   322.63
GNN700X   360.14
GHN700P   326.14
GNN5003   388.83
GTH004M   249.33
GTH0021   281.34
GTH000k   251.02
GTH003z   257.46
GHN001e   251.02
GGH000H   253.85
GPH000I   284.99
GHN0018   282.68
GHH000R   252.52
GHH900R   247.90
GHN701Q   274.00
GHN700u   326.14
GHH700E   277.93
GHN5007   317.06
GNK4001   298.20
GNN4000   394.64
GHN4000   310.18
GND000l   249.33
GAN000J   251.02
GGN000B   252.52
GPN000G   283.89
GNN0009   281.34
GHN000E   251.02
GNK900R   243.19
GNN900f   280.45
GHN900m   245.69
GND9015   252.39
GNN000m   281.34
GAN000I   282.68
GGN000A   283.89
GPN000F   304.76
GNN0008   302.64
GHN000D   282.68
GNN9013   280.45
GNN900e   305.40
GHN900l   282.43
GNN9012   290.28
GHN001b   251.02
GAH000M   252.52
GGH000G   253.85
GPH000J   284.99
GHN000o   282.68
GHH0007   252.52
GHN901w   245.69
GHN901C   282.43
GHH900S   247.90
GHN901t   254.90
GTN000g   279.85
GTH000p   249.33
GTN001j   255.50
GTN000f   301.43
GTH000n   281.34
GTN001i   288.52
GTH0022   281.34
GTH000o   251.02
GTH0041   257.46
GTN000m   279.85
GTH000t   249.33
GTN001p   255.50
GTN000k   301.43
GTH000q   281.34
GTN001n   288.52
GTH0024   281.34
GTH000r   251.02
GTH0043   257.46
GTN0009   245.06
GTN000j   279.85
GTN000h   301.43
GTH0023   281.34
GTN0007   278.16
GTN000i   288.52
GTH000E   247.38
GTH901m   290.28
GTH9017   254.90
GTN001m   255.50
GTN001k   288.52
GTH0042   257.46
GTN0008   253.19
GTN001l   264.79
GTN000l   288.52
GTH000s   257.46
GTN001o   264.79
GPN000J   283.89
GPN000H   304.76
GPH000K   284.99
GND000n   249.33
GPN000M   283.89
GNN000n   281.34
GPN000K   304.76
GHN001c   251.02
GPH000L   284.99
GND0003   247.38
GAN0000   249.33
GGN0000   251.02
GPN0000   282.68
GND000m   257.46
GPN000L   292.56
GNN000C   281.34
GNN000A   302.64
GHN000p   282.68
GNN0000   279.85
GAN000A   281.34
GGN0001   282.68
GPN0001   303.74
GNN000B   290.01
GHN000H   251.02
GHN000F   282.68
GHH0008   252.52
GHN0001   249.33
GAH0000   251.02
GGH0000   252.52
GPH0000   283.89
GHN000G   259.15
GNK9005   240.29
GNN900H   280.45
GNN900F   305.40
GHN900R   282.43
GNN900E   278.24
GNN900G   290.28
GHN9007   245.69
GHN9005   282.43
GHH9002   247.90
GHN9004   243.19
GHN9006   254.90
GNK8002   254.71
GNN9000   278.24
GNN900C   303.61
GHN9002   280.45
GNN8006   300.40
GHN9001   243.19
GHN900Q   280.45
GHH9001   245.69
GHN800F   258.65
GPN000I   292.56
GND0004   255.50
GND9000   249.50
GNN900D   288.07
GHN9003   252.39
GND8009   268.61
GAN900A   252.39
GGN900B   254.90
GPN900B   292.26
GND900r   262.92
GNN900l   301.62
GHN901Y   265.43
GEN9003   262.92
GHN901X   254.90
GND9002   260.03
GAN9003   262.92
GGN9004   265.43
GPN9004   303.60
GND900q   275.22
GNN000J   281.34
GHN000C   251.02
GND000e   257.46
GNK800E   242.79
GNK600E   259.56
GNN600L   322.30
GHN600h   266.07
GNN900L   290.28
GND7003   264.41
GAN700P   269.55
GGN700G   274.00
GPN700H   326.14
GND600L   281.01
GNN000I   302.64
GHN000B   282.68
GNN000j   290.01
GNN800J   287.56
GNN700L   322.63
GNN700J   360.14
GHN700X   326.14
GNN6007   322.30
GNN6005   366.63
GHN600D   327.28
GNN900J   315.93
GNN7000   318.70
GAN7006   322.63
GGN7002   326.14
GPN7005   363.04
GNN6006   346.16
GNN700K   343.66
GHN000s   282.68
GHH0006   252.52
GHN001W   259.15
GHN800e   246.74
GHN7008   274.00
GHN7006   326.14
GHH7003   277.93
GHN6005   266.07
GHN6003   327.28
GHH6003   271.72
GHN900S   292.26
GHN7000   269.55
GAH7001   274.00
GGH7001   277.93
GPH7001   329.32
GHN901A   265.43
GHN6004   287.53
GHN7007   292.91
GND5001   299.29
GAN5003   308.92
GGN5000   317.06
GPN5001   395.05
GNN000M   282.68
GNN000N   291.35
GNN000K   303.74
GHN000t   283.89
GNN000F   281.34
GNN000D   302.64
GHN000q   282.68
GNN000E   290.01
GHN0008   251.02
GHN0006   282.68
GHH0004   252.52
GHN0007   259.15
GND9001   260.03
GAN9004   262.92
GGN9005   265.43
GPN9005   303.60
GNK0000   257.46
GNN000h   290.01
GHN001U   259.15
GND000d   266.75
GNN000L   291.35
GNK800B   254.71
GNN8007   300.40
GHN800G   258.65
GND7009   288.46
GNN700G   343.66
GHN700I   292.91
GNK6001   281.01
GNN6001   346.16
GHN6008   287.53
GEN7002   288.46
GHN700x   274.00
GNN000H   281.34
GNN000G   302.64
GHN000r   282.68
GNN900K   301.62
GHN000A   251.02
GHN0009   282.68
GHH0005   252.52
GND7002   283.32
GAN7003   288.46
GGN7000   292.91
GPN7003   347.17
GNK0001   257.46
GNN000i   290.01
GHN001V   259.15
GND6001   307.88
GND7008   312.14
GNU8005   263.95
GND4000   345.38
GAN4001   357.37
GGN4001   367.50
GPN4002   468.02
GTN002G   255.50
GTN000d   288.52
GTH000l   257.46
GTN001g   264.79
GND000r   257.46
GGN000D   260.64
GPN000D   292.56
GNN000Z   290.01
GHN000d   259.15
GHN900j   254.90
GND7012   288.46
GNN700Y   343.66
GHN700Q   292.91
GNK5005   308.92
GNN5009   388.83
GHN500Q   317.06
GNK5004   299.29
GND5008   349.93
GNU700c   258.33
GNN700r   314.25
GHN701H   264.41
GNU8000   263.95
GAN800V   268.61
GGN8008   272.56
GPN8008   318.59
GNU700b   277.24
GHN5001   308.92
GNU8008   250.04
GNN8000   296.98
GHN8000   254.71
GEH0009   292.61
GHD0007   281.16
GAH0009   292.61
GHD9004   277.07
GHD0013   291.55
GEH9006   289.75
GHD8009   273.68
GHD800K   286.13
GHN800X   262.07
GHD600S   266.46
GHU700V   253.85
GHH500C   277.08
GHN800V   262.07
GHN800W   306.11
GHH800J   265.09
GHN701O   264.41
GHH800L   296.65
GHH800M   265.09
GHH700f   269.81
GTH004L   282.09
GTH002X   249.33
GTH001V   293.55
GTH004G   281.16
GHN0016   251.02
GHH000P   303.23
GHN700s   274.00
GHH700C   293.87
GHD5009   264.11
GHD700z   282.81
GTH004N   249.33
GTH002Y   281.34
GTH001X   251.02
GTH004H   257.46
GHN001f   251.02
GHN0019   282.68
GHH000S   252.52
GHN701R   274.00
GHN700v   326.14
GHH700F   277.93
GHN500H   317.06
GHH500E   278.65
GHK4002   241.40
GHN4008   310.18
GHH4002   260.40
GTH000T   267.14
GAH000F   303.23
GGH0008   311.62
GPH0008   253.85
GHH900E   290.41
GHH900B   245.69
GHH900C   300.49
GHD000C   281.16
GHH900D   289.75
GHD800D   273.20
GHD900h   288.99
GHN900w   265.43
GHH900g   299.07
GEH9004   288.99
GHH900f   299.83
GHD900d   277.07
GAH9003   288.99
GHD900g   288.12
GHD701D   269.81
GHN701M   269.55
GHH700X   282.85
GHD5001   246.33
GAH500D   264.11
GGH5002   278.65
GPH5002   324.11
GHD7012   282.81
GHN700a   292.91
GHH7008   293.83
GEH7004   282.81
GHH700U   293.87
GHD7004   269.77
GAH700C   282.81
GHD6004   267.15
GHD700v   282.76
GHU8007   257.97
GHD4000   244.81
GAH4002   263.81
GGH4002   279.34
GPH4003   376.28
GHK5005   264.11
GHN500G   317.06
GHH500D   278.65
GHK5004   246.33
GHD500M   266.14
GHU700X   253.85
GHN701P   264.41
GHH700b   269.81
GHU8000   257.97
GHU700W   253.81
GKO3000   176.35
GNK3000   333.54
GHK3000   213.73
GDK500C   191.07
GDK4006   185.78
GK03000   112.46
GDK3000   183.68
GAK3000   221.06
GKK9008   289.75
GDK900K   288.99
GNK900S   254.90
GND900Q   265.43
GHK900V   299.83
GHD900V   299.07
GKK9003   277.83
GNK900G   252.39
GHK900G   289.75
GED000C   292.61
GAK0005   292.61
GDK9006   277.07
GAK9003   288.99
GGK9001   299.07
GPK9003   267.64
GND900e   262.92
GHD900O   288.99
GED000D   291.55
GAD0006   291.55
GDD900D   276.20
GKK8008   273.68
GNK8007   258.65
GHK8008   286.13
GDK700G   253.81
GKK8007   273.20
GDK8004   272.64
GNN900b   290.28
GHN900g   254.90
GEN0008   259.15
GND900u   262.92
GHH900P   299.83
GEH000C   302.30
GHD900U   288.99
GKK9007   277.83
GNK900J   252.39
GHK900F   289.75
GDK000I   281.16
GAK0009   292.61
GGK0005   302.30
GPK0007   260.64
GDK900Y   277.07
GHD000o   292.61
GDD000H   280.10
GNK900Q   252.39
GNN900d   290.28
GHN900e   254.90
GND000y   257.46
GAN000H   259.15
GGN0009   260.64
GPN000B   292.56
GND900w   262.92
GHN001F   259.15
GND000v   266.75
GHK900T   289.75
GHN901B   254.90
GHH900N   299.83
GHD001G   292.61
GAH000L   302.30
GGH000F   310.68
GPH000F   261.98
GHD9017   288.99
GHH000k   302.30
GHD001B   291.55
GKK9001   263.23
GNK9002   249.50
GHK9002   277.83
GED0006   281.16
GDK0001   267.14
GAK0002   281.16
GGK0002   292.61
GPK0002   259.15
GDK9002   262.48
GAK9008   277.07
GGK9005   288.99
GPK9006   265.43
GND000c   257.46
GNN000g   290.01
GHN001T   259.15
GNN900a   288.07
GHN900f   252.39
GEN0004   257.46
GND0001   255.50
GAN0003   257.46
GGN000H   259.15
GPN000S   291.35
GND900c   260.03
GND000b   266.75
GHD000q   292.61
GHN001G   259.15
GHH000l   302.30
GHH900O   289.75
GEH0008   292.61
GHD0001   281.16
GAH0008   292.61
GGH000A   302.30
GPH000G   260.64
GHD900M   277.07
GHD000p   291.55
GED0005   280.10
GDD0000   266.08
GAD0000   280.10
GGD0002   291.55
GPD0005   268.44
GDD9000   261.60
GDD000A   278.87
GAD0008   280.10
GGD0003   291.55
GPD0007   268.44
GKK8003   258.45
GHK8005   273.68
GED900A   277.07
GDK900a   262.48
GDK8001   257.97
GNK8001   254.71
GHN800D   258.65
GND9014   260.03
GND800A   268.61
GHK8001   273.68
GHH8007   286.13
GHD9018   277.07
GHD800E   273.20
GDK800B   238.33
GDK7004   233.23
GAK7007   253.81
GGK7006   269.77
GPK7007   288.46
GKK8002   257.97
GNK800C   268.61
GHK8004   273.20
GDK900A   261.60
GAK9006   276.20
GGK9002   288.12
GPK9000   277.72
GDK8008   257.40
GHU8005   257.97
GED000B   291.55
GDD900C   276.20
GKK800D   273.68
GDK800F   273.20
GND800I   272.56
GHD800O   285.65
GKK6005   249.66
GHK6009   266.46
GKK6004   228.01
GDK600B   250.35
GDK800E   272.64
GHK5008   264.11
GNK800F   258.65
GND800O   272.56
GNN800E   318.59
GHN800R   275.98
GNK6008   281.01
GHN600Q   287.53
GNK6007   273.31
GHK800C   286.13
GHD800P   285.65
GHN800k   275.98
GHK600A   266.46
GHH600K   280.18
GHK6008   249.66
GTK000E   267.14
GTN001B   255.50
GTH001W   281.16
GTK000B   266.08
GPK000B   260.64
GND000Q   257.46
GHD000b   292.61
GKK9005   277.83
GNK9009   254.90
GKK800A   273.20
GHK900K   289.75
GDK900X   277.07
GNK6006   287.53
GND700X   288.46
GHD700P   282.81
GDK5004   248.35
GKK800F   273.20
GDK700R   269.72
GTN002H   255.50
GTN001C   288.52
GTH001Y   257.46
GTN002A   264.79
GND000t   257.46
GPN000O   292.56
GNN000a   290.01
GHN000e   259.15
GNN900O   292.26
GNK8008   272.56
GHN900p   254.90
GND900t   262.92
GND7014   288.46
GNN700Z   343.66
GHN700R   292.91
GND5009   349.93
GNK800G   272.56
GPH000N   261.98
GHN900V   257.11
GHK8009   285.65
GHH900V   299.83
GHD9014   288.99
GHD500A   266.14
GHK800D   285.65
GKK4000   220.31
GNK4002   345.38
GHK4001   244.81
GDK000B   281.16
GAK000A   292.61
GGK0006   302.30
GPK0009   260.64
GND000G   257.46
GHD000F   292.61
GKK9009   289.75
GNK900O   254.90
GHK900M   299.83
GDK900c   288.99
GKK800B   273.20
GND000Y   257.46
GAN000K   259.15
GGN000F   260.64
GPN000N   292.56
GNN000O   290.01
GHN000I   259.15
GNK900T   254.90
GNN900v   292.26
GHN9012   257.11
GND901A   265.43
GNK8009   272.56
GHD000z   292.61
GAH000N   302.30
GGH000I   310.68
GPH000M   261.98
GHN000u   259.15
GHH0009   302.30
GHK900Y   299.83
GHN901j   257.11
GHH900i   308.56
GHD901C   299.07
GHK800A   285.65
GTK000H   249.07
GTN000b   253.19
GTH000i   267.14
GTK0007   248.01
GPK000D   261.98
GDK000J   281.16
GPN000Q   293.66
GND000f   257.46
GPH000P   263.19
GHD000r   292.61
GDK000D   281.16
GPK0008   260.64
GND000I   257.46
GPN000P   292.56
GHD0011   292.61
GPH000O   261.98
GED0004   281.16
GHK0000   293.55
GDK0000   267.14
GAK0001   281.16
GGK0001   292.61
GPK0001   259.15
GDK000C   280.10
GPK000C   269.93
GDD000I   280.10
GND000z   257.46
GNN000k   290.01
GHN001I   259.15
GND000E   257.46
GNN000P   290.01
GHN000v   259.15
GEN0003   257.46
GHN001D   251.02
GND0000   255.50
GAN0002   257.46
GGN0002   259.15
GPN0002   291.35
GND000H   266.75
GND000w   266.75
GHD001H   292.61
GHN001Z   259.15
GHH000m   302.30
GHD000E   292.61
GHN000J   259.15
GHH000A   302.30
GEH0007   292.61
GHH000Z   303.23
GHD0000   281.16
GAH0001   292.61
GGH0001   302.30
GPH0001   260.64
GHD000G   291.55
GHD001C   291.55
GPD0006   271.27
GKK9002   277.83
GNK9003   252.39
GHK9003   289.75
GDK9004   277.07
GAK900A   288.99
GGK9007   299.07
GPK9008   267.64
GNK9007   252.39
GNN900N   290.28
GHN900U   254.90
GND900H   262.92
GHK9006   289.75
GHN9009   254.90
GHH9004   299.83
GHD9003   288.99
GAK7003   269.77
GGK7005   282.81
GPK7006   292.91
GKK8004   257.97
GDD0007   266.08
GDK8006   257.40
GDK900P   276.20
GPK9002   279.94
GND900b   275.22
GHD900s   288.12
GED9006   276.20
GHK900N   288.99
GDK900G   261.60
GAK9004   276.20
GDK900O   275.16
GKK8001   258.45
GNK8005   254.71
GHK8003   273.68
GND700H   288.46
GKK6002   249.66
GNK6002   281.01
GHK6002   266.46
GED7001   269.77
GHK7005   282.85
GNK900I   262.92
GDK7003   253.81
GAK7001   269.77
GGK7008   282.81
GPK7004   292.91
GDK6003   250.35
GDK700P   269.72
GNK8000   254.71
GNN8001   300.40
GHN8001   258.65
GND700D   288.46
GNN700M   343.66
GHN700Y   292.91
GNK6004   281.01
GNN6008   346.16
GHN600E   287.53
GEN7001   288.46
GHN700w   274.00
GNN900c   301.62
GND7001   283.32
GAN7004   288.46
GGN7003   292.91
GPN7006   347.17
GND6007   307.88
GND700E   312.14
GHK8000   273.68
GHN8008   258.65
GHH8000   286.13
GHD700C   282.81
GHN700F   292.91
GHH7005   293.83
GHK6000   266.46
GHN6006   287.53
GHH6004   280.18
GEH7003   282.81
GHH700T   293.87
GHD7001   269.77
GAH7002   282.81
GGH7002   293.83
GPH7002   296.84
GHD6003   267.15
GHD700B   282.76
GDK5001   225.42
GAK5001   248.35
GGK5000   266.14
GPK5000   358.07
GKK800G   273.20
GNK800H   272.56
GHK800E   285.65
GKK8000   257.97
GDK800C   272.64
GNK8004   268.61
GHK8002   273.20
GDK7008   269.72
GND7007   312.14
GHD700H   282.76
GKK6001   250.35
GNK6000   307.88
GHK6001   267.15
GED7000   269.72
GHK7004   282.81
GNK900H   275.22
GDK7002   253.76
GAK7000   269.72
GGK7000   282.76
GPK7000   316.59
GDK6001   251.24
GKK7000   253.76
GDK7007   269.65
GUD8005   237.76
GKK4002   185.78
GDK4001   225.12
GPK000A   269.93
GNK9008   265.43
GKK8009   272.64
GKK5002   248.35
GNK5008   349.93
GHK5009   266.14
GKK5000   225.42
GDK5005   251.21
GKK800E   272.64
GUK7005   253.81
GUD700b   253.76
GUK7001   233.23
GNU700W   277.24
GHU700M   253.81
GUD8000   237.76
GAU8002   257.40
GGU8002   272.64
GPU8002   289.27
GUD700X   233.18
GUD600E   229.59
GHU5000   248.35
GUK8000   238.33
GNU8002   263.95
GHU8002   257.97
GUD8008   257.40
GHU900A   276.20
GUD8004   237.76
GUD8007   256.71
GAU8000   257.40
GGU8000   272.64
GPU8000   289.27
GUK6001   198.17
GNU8007   285.32
GHU8008   272.64
GUK8005   273.20
GNU800T   272.56
GHU800S   285.65
GUK8007   258.45
GNU800H   254.71
GHU800O   273.68
GUD700L   233.23
GAU7001   253.81
GGU7001   269.77
GPU7001   288.46
GUK8001   257.97
GUD800A   272.64
GNU700C   277.24
GHU700J   253.81
GUD700K   233.18
GUD700R   233.18
GUK7007   233.28
GNU700Z   258.33
GHU700P   253.85
GUD8003   238.33
GUD700e   233.23
GNU700P   258.33
GNN700n   314.25
GHN701I   264.41
GNU8001   263.95
GAN800U   268.61
GGN8007   272.56
GPN8007   318.59
GNU700O   277.24
GHU700U   253.85
GHN701K   264.41
GHH700c   269.81
GHU8001   257.97
GHU700T   253.81
GUD6001   198.17
GAU6003   228.70
GGU6003   250.35
GPU6003   307.88
GUD800J   257.40
GNU800U   285.32
GHU800T   272.64
GUK7002   233.23
GNU700Y   277.24
GHU700O   253.81
GUD8002   237.76
GAU8001   257.40
GGU8001   272.64
GPU8001   289.27
GUD700Z   233.18
GUD800I   256.71
GUK4000   126.75
GUD0002   267.14
GNU0001   255.50
GHU0004   281.16
GNU0007   255.50
GNN000U   288.52
GHN000Y   257.46
GHU000D   281.16
GHN0014   257.46
GHH000N   292.61
GTN0017   253.19
GTH001Q   267.14
GTU0008   248.01
GTN0016   286.83
GTH001O   255.50
GTN0028   262.48
GTH002V   255.50
GTH001P   281.16
GTH004E   266.08
GTH003H   267.14
GTU0002   223.59
GTH003E   255.50
GTN0004   250.36
GTH003F   281.16
GTH000B   249.07
GTH003G   266.08
GTU0001   222.53
GHU0009   281.16
GUD0004   267.14
GNU0008   255.50
GHU000E   281.16
GUD0000   249.07
GUD0003   266.08
GHN001J   257.46
GNU0003   255.50
GNN000X   288.52
GHN0017   257.46
GNU0000   253.19
GAN000B   255.50
GGN0003   257.46
GPN0008   290.01
GNU0002   264.79
GHH000n   292.61
GHU0006   281.16
GHN000b   257.46
GHH000Q   292.61
GHU0000   267.14
GAH0004   281.16
GGH0004   292.61
GPH0004   259.15
GHU0005   280.10
GUD900B   242.79
GUK8003   238.81
GNU8004   250.04
GHU8004   258.45
GUD700Q   253.81
GNU700Q   283.32
GHU700Z   269.77
GUK6003   228.01
GNU6009   273.31
GHU6009   249.66
GUD7001   233.23
GUD600D   228.70
GUD700P   253.76
GNU800D   250.04
GNN8005   296.98
GHN8007   254.71
GNU7006   283.32
GNN700W   339.73
GHN700t   288.46
GNU6003   273.31
GNN600A   340.52
GHN600M   281.01
GNU7000   277.24
GAN700E   283.32
GGN7005   288.46
GPN700B   343.66
GNU6002   300.18
GNU7005   307.01
GHU800R   258.45
GHN800B   254.71
GHH8005   273.68
GHU7002   269.77
GHN700O   288.46
GHH700D   282.81
GHU6003   249.66
GHN6009   281.01
GHH6006   266.46
GHU7000   253.81
GAH700B   269.77
GGH7004   282.81
GPH7007   292.91
GHU6002   250.35
GHU7001   269.72
GUD5000   193.09
GAU5000   225.42
GGU5000   248.35
GPU5000   349.93
GHU0002   281.16
GHN000W   257.46
GHH000L   292.61
GHU0001   280.10
GUD900A   242.79
GUK8002   238.33
GNU8003   263.95
GHU8003   257.97
GUD700O   253.76
GNU700J   307.01
GHU700Y   269.72
GUK6002   228.70
GNU6008   300.18
GHU6008   250.35
GNU0004   255.50
GNN000b   288.52
GHN001A   257.46
GHU0003   281.16
GHN000X   257.46
GHH000M   292.61
GUD7000   233.18
GAU7002   253.76
GGU7002   269.72
GPU7002   312.14
GUK0000   266.08
GNU0006   264.79
GHU000C   280.10
GUD600B   229.59
GUD700N   253.69
GUD700J   233.23
GNU700B   277.24
GHU700B   253.81
GUD6000   198.17
GUD700I   233.18
GUD5004   193.09
GAN9006   262.92
GAH9005   288.99
GAN9005   260.03
GAH9004   277.07
GAU9001   261.60
GAU6000   228.70
GGU9001   276.20
GGU6000   250.35
GPU9001   275.22
GPU6000   307.88
GTT002g   249.07
GTT002d   253.19
GTT002e   267.14
GTT002j   249.07
GTT002h   253.19
GTT002i   267.14
GTT000A   180.05
GTT0007   246.71
GTT0008   223.59
GTT0009   178.99
GTT004C   222.53
GTT004B   248.01
GTT004A   262.48
GTT002f   248.01
GUD700d   204.28
GNU700N   250.90
GHU700S   233.28
GU03000    43.12
GTU9007   172.58
GTN900M   236.48
GTH900G   217.91
GTU9006   171.83
GUD900E   217.91
GNU9006   241.88
GHU9006   244.42
GUD600C   197.48
GNU6001   263.88
GHU6001   228.01
GED2000   233.93
GDD4002   225.12
GDD7006   269.77
GND700O   288.46
GHD700R   282.81
GDD700H   253.81
GND500C   308.92
GND4006   357.37
GHD5006   264.11
GDD6004   268.04
GDD3002   221.06
GDD5003   248.35
GUD700T   233.23
GUD5001   225.42
GND700k   288.46
GNN700F   347.17
GNN7005   343.66
GND700h   288.46
GND700b   283.32
GHN5003   317.06
GND3000   435.64
GNU700F   277.24
GHD8002   273.20
GHD700p   282.81
GHD700Y   269.77
GHD3000   247.57
GHU700D   253.81
GED3000   221.06
GDD700L   253.85
GUD700V   233.28
GND700N   269.55
GNN700P   322.63
GHN700e   274.00
GND701I   264.41
GND700M   288.46
GNU700M   258.33
GHD701G   269.81
GHD700T   282.81
GHU700R   253.85
GDD700I   253.81
GDD5006   246.33
GND500A   308.92
GHD5004   264.11
GED5001   246.33
GDD5001   223.39
GDD4001   220.31
GDD5007   248.35
GUD700B   233.23
GUD6003   228.70
GND700B   269.55
GNN700H   322.63
GHN700W   274.00
GND700A   288.46
GNU700H   258.33
GNN700B   322.63
GNN700A   360.14
GHN700C   326.14
GNN7002   343.66
GNN700l   314.25
GHN7003   274.00
GHN7001   326.14
GHH7000   277.93
GHN7002   292.91
GHN701J   264.41
GND700c   283.32
GNN5004   388.83
GHN5002   317.06
GEN5000   308.92
GND5000   299.29
GND4001   345.38
GND500B   349.93
GNU7007   277.24
GNU6004   300.18
GHD7006   282.85
GHN7004   274.00
GHH7001   293.87
GHD7005   282.81
GHU700F   253.85
GHN7016   264.41
GHH700Z   269.81
GHD700W   269.77
GHH5001   278.65
GEH5001   264.11
GHD5000   246.33
GHD4001   244.81
GHD5005   266.14
GHU7007   253.81
GHU6004   250.35
GDD4005   185.78
GDD3000   183.68
GDD7005   269.72
GUD700c   233.23
GNU700L   277.24
GHU700Q   253.81
GDD7003   253.76
GND5005   349.93
GHD5003   266.14
GED5000   248.35
GDD7008   269.72
GND700p   312.14
GHD700q   282.76
GDD5000   225.42
GDD7007   269.65
GDD4000   225.12
GDD5002   251.21
GUD700A   253.76
GUD7003   233.18
GUD6002   229.59
GUD7004   233.18
GUD6004   229.59
GDD2000   192.55
GUD0001   266.08
GNU0005   264.79
GHU000B   280.10
GUD700D   253.76
GNU7008   307.01
GHU7008   269.72
GDD6003   269.30
GUD700C   253.69
GUD700E   253.69
GDD3001   233.59
GND600F   350.37
GHD600I   281.77
GUD4001   190.59
GUD4000   190.59
GHU3000   221.06
GTA800X   254.71
GTA800H   273.68
GTA8008   257.97
GTA800U   300.40
GTA800E   258.65
GTA8005   268.61
GTA800V   258.65
GTA800F   286.13
GTA8006   273.20
GTA900O   262.48
GTA900H   288.99
GTP900Q   265.43
GTA800a   254.71
GTA800K   273.68
GTA800D   257.97
GTA900M   260.03
GTA900F   265.43
GTP900O   303.60
GTA800Y   300.40
GTA800I   258.65
GTA800B   268.61
GTA900N   277.07
GTA900G   299.07
GTP900P   267.64
GTA800Z   258.65
GTA800J   286.13
GTA800C   273.20
GTA800b   300.40
GTA800c   258.65
GTA8000   250.04
GTA800d   268.61
GTA7006   264.41
GTA7004   318.70
GTA7005   269.55
GTA8001   258.45
GTA8002   238.33
GTA8009   273.20
GTP800B   272.56
GTA800W   268.61
GTA800G   273.20
GTA8007   257.40
GAN800F   303.41
GAH800F   262.07
GAG9007   267.64
GPA900B   305.39
GAN8002   272.56
GAH800G   296.65
GAG9008   307.80
GPA900C   269.62
GAH8004   285.65
GAD8009   285.08
GAD8004   273.20
GAN8001   272.56
GAH8003   285.65
GAD8003   272.64
GAA8001   285.65
GAG8001   296.17
GPA800E   278.99
GAN800B   258.65
GAG8003   265.09
GPA800G   308.55
GAH800A   286.13
GAG8002   305.77
GPA800F   267.78
GPA9006   267.64
GAD8002   273.20
GAA8003   262.07
GAA8002   296.65
GPA900I   269.62
GAA8000   285.65
GPA900H   271.41
GAG8000   296.17
GPP9000   308.53
GPA800D   278.99
GAN700D   253.81
GAH700A   282.89
GPA800C   265.09
GAD7003   269.81
GAN700B   305.45
GAH7007   258.26
GPA8009   308.55
GAN7001   269.55
GAH700G   258.26
GAH7008   293.91
GPA800A   267.78
GAH7005   282.85
GAD6001   249.66
GAN700C   269.55
GAH7009   282.85
GPA800B   278.99
GAD7002   269.77
GAD9002   277.83
GAN9000   252.39
GAH9000   289.75
GAD800J   273.20
GPA8003   278.99
GAD4003   244.81
GAN500A   317.06
GAH5007   278.65
GAD6004   267.15
GAA6006   280.87
GAG6006   292.48
GPA6006   325.02
GAD5002   266.14
GAD3001   247.57
GAN8009   303.41
GAH8007   262.07
GPA9003   305.39
GAN8000   272.56
GAN7002   269.55
GAN3001   488.66
GAN800R   272.56
GPA8000   323.73
GAN4003   357.37
GAN5009   395.05
GAH5004   324.11
GAN6005   314.39
GAG6004   325.02
GPA6004   390.37
GAN5002   358.07
GAN3000   450.67
GAH800U   262.07
GAH8008   296.65
GPA9004   269.62
GAH8002   285.65
GAH7006   282.85
GAH800b   285.65
GPA8001   281.69
GAH4000   263.81
GAH500C   324.11
GAH5005   290.94
GAH6004   280.87
GAG6005   302.53
GPA6005   329.47
GAH5003   280.68
GAH3000   268.14
GAN2000   461.90
GAH2000   244.69
GTA000Q   255.50
GTA0002   281.16
GTA000V   266.08
GTA900V   262.92
GTA900W   288.99
GTA900X   276.20
GTA9004   277.07
GTP9007   262.92
GTA0009   255.50
GTA000A   281.16
GTA000B   266.08
GAN0008   259.15
GAH000D   302.30
GAG8006   286.13
GPA800I   262.07
GAD0004   291.55
GAN700N   253.81
GAH700L   282.89
GAD7008   269.81
GAH700Q   258.26
GAH700R   282.85
GAN6008   281.01
GAH6007   266.46
GAD800A   257.97
GAD6006   250.35
GAD0003   281.16
GAA9006   288.99
GAN4004   310.18
GAD5004   246.33
GAA6003   280.87
GPA4000   376.28
GAU6001   250.35
GAN0005   257.46
GAA9003   265.43
GAN5005   317.06
GAN5004   308.92
GAH000A   292.61
GAA9004   299.07
GAH5000   264.11
GAD3002   221.06
GAD0007   291.55
GAN0006   257.46
GAH000B   292.61
GAD0002   280.10
GAA9005   288.12
GAD6007   250.35
GAA6004   320.04
GAA6005   292.48
GAD5003   248.35
GAA6002   281.77
GAD4002   249.62
GAN9009   260.03
GAU6004   228.70
GAD2000   233.93
GAN800A   272.56
GAH8009   285.65
GPA9005   279.94
GAD8001   272.64
GAD7004   269.77
GAG9002   299.07
GPA9002   267.64
GAG9000   267.64
GPA9000   305.39
GAG9001   307.80
GPA9001   269.62
GPA8002   295.70
GAN5008   317.06
GAH500A   278.65
GAG6003   292.48
GPA6003   325.02
GAN5006   395.05
GAH5008   324.11
GAA6000   320.04
GAG6000   325.02
GPA6000   390.37
GAH500B   324.11
GAH5009   290.94
GAA6001   292.48
GAG6001   302.53
GPA6001   329.47
GAD4000   249.62
GAN5007   358.07
GAH5006   280.68
GAD6003   268.04
GAG6002   293.37
GPA6002   360.99
GAD5001   268.99
GAD3000   260.10
GAU9003   261.60
GAU7000   253.81
