    5694  ! number of records (species) in the file
GNN800G   300.40
GHN800L   258.65
GNU800E   250.04
GNU800G   268.61
GNU9005   260.03
GAN9008   262.92
GGN9009   265.43
GPN9009   303.60
GNU700G   258.33
GHD901L   289.75
GAH6009   265.89
GGH6005   279.62
GPH6006   271.72
GHD8003   273.68
GHD900x   299.83
GHN901O   257.11
GHH9013   308.56
GHD901W   289.75
GHD700r   282.85
GHU800M   273.68
GHN901M   257.11
GHN901N   294.05
GHH900y   259.09
GHN701L   274.00
GHN800S   258.65
GHH900w   308.56
GHH900x   259.09
GHH900u   299.83
GHH800K   286.13
GHD700Z   269.81
GHD4005   260.40
GHO3000   235.04
GHN3003   311.81
GHH3001   255.61
GHD4002   241.40
GAH4001   260.40
GGH4000   275.93
GPH4001   329.09
GHD700n   269.81
GHD600W   280.87
GHU900B   277.07
GHU700C   253.85
GHD3006   240.24
GAH3001   260.81
GGH3000   277.62
GPH3001   390.66
GHN4009   320.32
GHH4004   275.93
GHD4009   263.81
GHU7005   269.77
GHU700a   269.77
GHN800T   258.65
GHH800F   286.13
GHU800L   258.45
GHU800N   273.20
GHU9005   277.07
GHU700E   253.85
GDO3002   176.35
GDO2000   173.95
GAO2000   215.33
GGO2000   244.69
GPO2000   481.20
GNK800D   272.56
GHK8007   285.65
GDK900m   277.07
GAK6002   249.66
GGK6002   266.46
GPK6002   287.53
GDK800A   272.64
GDK900p   288.99
GND9017   265.43
GHD9016   299.07
GDK900L   277.07
GNK5006   278.28
GHK5006   262.54
GDK500D   246.33
GDK700L   269.77
GND901I   265.43
GNN9014   303.60
GHN901y   267.64
GND700Q   269.55
GNN7003   322.63
GND701G   288.46
GHD901M   299.07
GHN901z   267.64
GHD900v   288.99
GHD700U   282.85
GTN900b   249.50
GTH900R   277.83
GTD9007   262.48
GTN900Z   288.07
GTH900O   252.39
GTN900K   260.03
GTH901e   252.39
GTH900P   289.75
GTH900V   277.07
GTA000Y   281.16
GTG000I   292.61
GTP000G   259.15
GTN900d   249.50
GTH900U   277.83
GTD9008   262.48
GTA000W   257.46
GTG000G   259.15
GTP000E   291.35
GTN900c   288.07
GTH900S   252.39
GTN900L   260.03
GTA000X   292.61
GTG000H   302.30
GTP000F   260.64
GTH901f   252.39
GTH900T   289.75
GTH900W   277.07
GTN0025   255.50
GTG000J   259.15
GTH004C   281.16
GTG000K   302.30
GTD000N   266.08
GTG000L   291.55
GTN9000   246.08
GTH9000   263.23
GTD9001   243.67
GTA900T   262.48
GTG900A   277.07
GTP900W   262.92
GTN900a   260.03
GTH900Q   277.07
GTD9006   261.60
GTN0022   257.46
GTN001z   290.01
GTH0049   259.15
GTN001v   255.50
GTN0021   266.75
GTH003W   292.61
GTH003T   259.15
GTH003U   302.30
GTH0038   281.16
GTH003V   291.55
GTD000a   280.10
GTN002M   266.75
GTH004W   291.55
GTD000W   266.08
