TREF TMECH 298.0 298.0
CH3O2      1.30E-12  1.30E-12 DATA, COPY
2H000L    2.40E-12  2.40E-12 SAR, SAR
2H000M    2.40E-12  2.40E-12 SAR, SAR
2H700B    2.40E-12  2.40E-12 SAR, SAR
HU7000    1.53E-14  1.53E-14 SAR, SAR
2H700C    2.40E-12  2.40E-12 SAR, SAR
2H700D    2.40E-12  2.40E-12 SAR, SAR
2H700E    2.40E-12  2.40E-12 SAR, SAR
2H700F    2.40E-12  2.40E-12 SAR, SAR
2H700G    2.40E-12  2.40E-12 SAR, SAR
2H6006    2.40E-12  2.40E-12 SAR, SAR
HU0000    1.52E-14  1.52E-14 SAR, SAR
2H000N    2.40E-12  2.40E-12 SAR, SAR
2H000O    2.40E-12  2.40E-12 SAR, SAR
2H000P    2.40E-12  2.40E-12 SAR, SAR
2H700H    2.40E-12  2.40E-12 SAR, SAR
2H6007    2.40E-12  2.40E-12 SAR, SAR
2H000Q    2.40E-12  2.40E-12 SAR, SAR
2H000R    2.40E-12  2.40E-12 SAR, SAR
2H000S    2.40E-12  2.40E-12 SAR, SAR
2H9005    2.40E-12  2.40E-12 SAR, SAR
2H8006    2.40E-12  2.40E-12 SAR, SAR
2H9006    2.40E-12  2.40E-12 SAR, SAR
2H9007    2.40E-12  2.40E-12 SAR, SAR
2H9008    2.40E-12  2.40E-12 SAR, SAR
2H9009    2.40E-12  2.40E-12 SAR, SAR
TT000N    1.03E-13  1.03E-13 SAR, SAR
2T0014    2.40E-12  2.40E-12 SAR, SAR
2T0015    2.40E-12  2.40E-12 SAR, SAR
TT000K    9.97E-15  9.97E-15 SAR, SAR
2T0016    2.40E-12  2.40E-12 SAR, SAR
2T0017    2.40E-12  2.40E-12 SAR, SAR
2T0018    2.40E-12  2.40E-12 SAR, SAR
2T700B    2.40E-12  2.40E-12 SAR, SAR
2H700I    2.40E-12  2.40E-12 SAR, SAR
2H700J    2.40E-12  2.40E-12 SAR, SAR
2H700K    2.40E-12  2.40E-12 SAR, SAR
TN0000    8.55E-12  8.55E-12 SAR, SAR
2T0019    2.40E-12  2.40E-12 SAR, SAR
2T001A    2.40E-12  2.40E-12 SAR, SAR
2N0003    2.40E-12  2.40E-12 SAR, SAR
2N0004    2.40E-12  2.40E-12 SAR, SAR
2T001B    2.40E-12  2.40E-12 SAR, SAR
TH0001    8.55E-12  8.55E-12 SAR, SAR
2T001C    2.40E-12  2.40E-12 SAR, SAR
2T001D    2.40E-12  2.40E-12 SAR, SAR
2H000T    2.40E-12  2.40E-12 SAR, SAR
2H000U    2.40E-12  2.40E-12 SAR, SAR
2T001E    2.40E-12  2.40E-12 SAR, SAR
TE0003    1.20E-13  1.20E-13 SAR, SAR
2T001F    2.40E-12  2.40E-12 SAR, SAR
2T900L    2.40E-12  2.40E-12 SAR, SAR
2E0000    2.40E-12  2.40E-12 SAR, SAR
2T800F    2.40E-12  2.40E-12 SAR, SAR
2E8000    2.40E-12  2.40E-12 SAR, SAR
ED0000    4.97E-14  4.97E-14 SAR, SAR
2E0001    2.40E-12  2.40E-12 SAR, SAR
2E0002    2.40E-12  2.40E-12 SAR, SAR
2E9000    2.40E-12  2.40E-12 SAR, SAR
2E5000    2.40E-12  2.40E-12 SAR, SAR
2E9001    2.40E-12  2.40E-12 SAR, SAR
2E8001    2.40E-12  2.40E-12 SAR, SAR
2E9002    2.40E-12  2.40E-12 SAR, SAR
2E8002    2.40E-12  2.40E-12 SAR, SAR
2E7000    2.40E-12  2.40E-12 SAR, SAR
2E8003    2.40E-12  2.40E-12 SAR, SAR
2E7001    2.40E-12  2.40E-12 SAR, SAR
2D4003    2.40E-12  2.40E-12 SAR, SAR
2O3000    2.40E-12  2.40E-12 SAR, SAR
TH0000    1.92E-13  1.92E-13 SAR, SAR
2T001G    2.40E-12  2.40E-12 SAR, SAR
2T001H    2.40E-12  2.40E-12 SAR, SAR
2T001I    2.40E-12  2.40E-12 SAR, SAR
2T001J    2.40E-12  2.40E-12 SAR, SAR
2H000V    2.40E-12  2.40E-12 SAR, SAR
2T001K    2.40E-12  2.40E-12 SAR, SAR
2T700C    2.40E-12  2.40E-12 SAR, SAR
2H000W    2.40E-12  2.40E-12 SAR, SAR
2H900A    2.40E-12  2.40E-12 SAR, SAR
2U7001    2.40E-12  2.40E-12 SAR, SAR
2U7002    2.40E-12  2.40E-12 SAR, SAR
2U7003    2.40E-12  2.40E-12 SAR, SAR
2U7004    2.40E-12  2.40E-12 SAR, SAR
TE0000    4.69E-16  4.69E-16 SAR, SAR
2T001L    2.40E-12  2.40E-12 SAR, SAR
2T001M    2.40E-12  2.40E-12 SAR, SAR
2T001N    2.40E-12  2.40E-12 SAR, SAR
2T001O    2.40E-12  2.40E-12 SAR, SAR
2T001P    2.40E-12  2.40E-12 SAR, SAR
2T800G    2.40E-12  2.40E-12 SAR, SAR
2E0003    2.40E-12  2.40E-12 SAR, SAR
2E0004    2.40E-12  2.40E-12 SAR, SAR
2T900M    2.40E-12  2.40E-12 SAR, SAR
2E0005    2.40E-12  2.40E-12 SAR, SAR
2E0006    2.40E-12  2.40E-12 SAR, SAR
2E0007    2.40E-12  2.40E-12 SAR, SAR
2E8004    2.40E-12  2.40E-12 SAR, SAR
2E7002    2.40E-12  2.40E-12 SAR, SAR
2E0008    2.40E-12  2.40E-12 SAR, SAR
2E9003    2.40E-12  2.40E-12 SAR, SAR
2E9004    2.40E-12  2.40E-12 SAR, SAR
2D9005    2.40E-12  2.40E-12 SAR, SAR
2E2000    2.40E-12  2.40E-12 SAR, SAR
2E7003    2.40E-12  2.40E-12 SAR, SAR
2E5001    2.40E-12  2.40E-12 SAR, SAR
2E9005    2.40E-12  2.40E-12 SAR, SAR
2K6001    2.40E-12  2.40E-12 SAR, SAR
TA0000    4.58E-16  4.58E-16 SAR, SAR
2T001Q    2.40E-12  2.40E-12 SAR, SAR
2T001R    2.40E-12  2.40E-12 SAR, SAR
2T001S    2.40E-12  2.40E-12 SAR, SAR
2T001T    2.40E-12  2.40E-12 SAR, SAR
2T001U    2.40E-12  2.40E-12 SAR, SAR
2T800H    2.40E-12  2.40E-12 SAR, SAR
2A0000    2.40E-12  2.40E-12 SAR, SAR
2A0001    2.40E-12  2.40E-12 SAR, SAR
2T900N    2.40E-12  2.40E-12 SAR, SAR
2A0002    2.40E-12  2.40E-12 SAR, SAR
2A0003    2.40E-12  2.40E-12 SAR, SAR
2A0004    2.40E-12  2.40E-12 SAR, SAR
2A0005    2.40E-12  2.40E-12 SAR, SAR
2A800B    2.40E-12  2.40E-12 SAR, SAR
2A7004    2.40E-12  2.40E-12 SAR, SAR
2A0006    2.40E-12  2.40E-12 SAR, SAR
2A9000    2.40E-12  2.40E-12 SAR, SAR
2A0007    2.40E-12  2.40E-12 SAR, SAR
2A7005    2.40E-12  2.40E-12 SAR, SAR
2A5005    2.40E-12  2.40E-12 SAR, SAR
2K6002    2.40E-12  2.40E-12 SAR, SAR
TT000E    1.04E-15  1.04E-15 SAR, SAR
2T001V    2.40E-12  2.40E-12 SAR, SAR
2T001W    2.40E-12  2.40E-12 SAR, SAR
2T001X    2.40E-12  2.40E-12 SAR, SAR
2T001Y    2.40E-12  2.40E-12 SAR, SAR
2T001Z    2.40E-12  2.40E-12 SAR, SAR
2T001a    2.40E-12  2.40E-12 SAR, SAR
2T001b    2.40E-12  2.40E-12 SAR, SAR
2T001c    2.40E-12  2.40E-12 SAR, SAR
2T001d    2.40E-12  2.40E-12 SAR, SAR
2T900O    2.40E-12  2.40E-12 SAR, SAR
2N0005    2.40E-12  2.40E-12 SAR, SAR
2T700D    2.40E-12  2.40E-12 SAR, SAR
2T900P    2.40E-12  2.40E-12 SAR, SAR
2T900Q    2.40E-12  2.40E-12 SAR, SAR
2N7007    2.40E-12  2.40E-12 SAR, SAR
2N9004    2.40E-12  2.40E-12 SAR, SAR
2N9005    2.40E-12  2.40E-12 SAR, SAR
2N9006    2.40E-12  2.40E-12 SAR, SAR
DD5000    2.64E-14  2.64E-14 SAR, SAR
2D5005    2.40E-12  2.40E-12 SAR, SAR
DD3000    5.28E-13  5.28E-13 SAR, SAR
NN0000    2.25E-14  2.25E-14 SAR, SAR
2N0006    2.40E-12  2.40E-12 SAR, SAR
2N0007    2.40E-12  2.40E-12 SAR, SAR
2N9007    2.40E-12  2.40E-12 SAR, SAR
2N9008    2.40E-12  2.40E-12 SAR, SAR
TN0007    6.45E-16  6.45E-16 SAR, SAR
2T001e    2.40E-12  2.40E-12 SAR, SAR
2T001f    2.40E-12  2.40E-12 SAR, SAR
2T001g    2.40E-12  2.40E-12 SAR, SAR
2T001h    2.40E-12  2.40E-12 SAR, SAR
2T6001    2.40E-12  2.40E-12 SAR, SAR
2N0008    2.40E-12  2.40E-12 SAR, SAR
2N0009    2.40E-12  2.40E-12 SAR, SAR
2T900R    2.40E-12  2.40E-12 SAR, SAR
2N000A    2.40E-12  2.40E-12 SAR, SAR
2N6001    2.40E-12  2.40E-12 SAR, SAR
2N000B    2.40E-12  2.40E-12 SAR, SAR
2N9009    2.40E-12  2.40E-12 SAR, SAR
2N5000    2.40E-12  2.40E-12 SAR, SAR
2N5001    2.40E-12  2.40E-12 SAR, SAR
2N5002    2.40E-12  2.40E-12 SAR, SAR
ND0000    2.24E-14  2.24E-14 SAR, SAR
2N000C    2.40E-12  2.40E-12 SAR, SAR
2N000D    2.40E-12  2.40E-12 SAR, SAR
2N900A    2.40E-12  2.40E-12 SAR, SAR
2N7008    2.40E-12  2.40E-12 SAR, SAR
2N900B    2.40E-12  2.40E-12 SAR, SAR
2N8000    2.40E-12  2.40E-12 SAR, SAR
2N6002    2.40E-12  2.40E-12 SAR, SAR
2N900C    2.40E-12  2.40E-12 SAR, SAR
2N6003    2.40E-12  2.40E-12 SAR, SAR
NN7000    2.05E-14  2.05E-14 SAR, SAR
2N7009    2.40E-12  2.40E-12 SAR, SAR
