*       Citation
*       
*       A citation to
*  the MCM website and the relevant mechanism construction
*  protocols should be given in any publication using
*  information obtained from this source, using the following
*  or comparable wording:
*       
* The chemical mechanistic
*  information was taken from the Master Chemical Mechanism,
*  MCM v3.3.1 (reference), via  website:
*  http://mcm.york.ac.uk/
* 
* The reference should be: 
* 
* 
*  For non-aromatic schemes:
*    
*       Jenkin et al.,
*  Atmos. Environ., 31, 81, 1997
*  [doi:10.1016/S1352-2310(96)00105-7]
*       Saunders et
*  al., Atmos. Chem. Phys., 3, 161, 2003
*  [doi:10.5194/acp-3-161-2003]
*    
*    For aromatic
*  schemes:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  3, 181, 2003 [doi:10.5194/acp-3-181-2003]
*       Bloss et
*  al., Atmos. Chem. Phys., 5, 641, 2005
*  [doi:10.5194/acp-5-641-2005]
*    
*    For the
*  β-caryophyllene scheme:
*    
*       Jenkin et al.,
*  Atmos. Chem. Phys.,  12, 5275, 2012
*  [doi:10.5194/acp-12-5275-2012]
*    
*    For the isoprene
*  scheme:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  15, 11433-11459, 2015 [doi:10.5194/acp-15-11433-2015]
* Selected VOCs: C5H8
Name	Smiles	Inchi	InchiKey	Formula	Mass	Excited	PeroxyRadical	Synonyms
C4M2ALOHO	O=CC(O)C(C)([O])C=O	InChI=1S/C5H7O4/c1-5(9,3-7)4(8)2-6/h2-4,8H,1H3	FAEOTFFIRAVMAW-UHFFFAOYSA-N	C5H7O4	131.1067	false	false	
C4M2ALOHO2	O=CC(O)C(C)(O[O])C=O	InChI=1S/C5H7O5/c1-5(3-7,10-9)4(8)2-6/h2-4,8H,1H3	QIJWRUSDFFPUMY-UHFFFAOYSA-N	C5H7O5	147.1061	false	true	
C4MALOHOOH	O=CC(O)C(C)(OO)C=O	InChI=1S/C5H8O5/c1-5(3-7,10-9)4(8)2-6/h2-4,8-9H,1H3	NJMKFLHNNBFYIH-UHFFFAOYSA-N	C5H8O5	148.114	false	false	
C4MDIAL	O=CC=C(C)C=O	InChI=1S/C5H6O2/c1-5(4-7)2-3-6/h2-4H,1H3	USBJWIKCHJDWPF-UHFFFAOYSA-N	C5H6O2	98.0999	false	false	2-methylbut-2-ene-1,4-dial; 2-methylbutenedial
C4PAN10	OCC(=O)C(O)C(=O)OON(=O)=O	InChI=1S/C4H5NO8/c6-1-2(7)3(8)4(9)12-13-5(10)11/h3,6,8H,1H2	JOAGXXIRMSWAAZ-UHFFFAOYSA-N	C4H5NO8	195.0844	false	false	
C4PAN5	O=N(=O)OOC(=O)C(C)(C)O	InChI=1S/C4H7NO6/c1-4(2,7)3(6)10-11-5(8)9/h7H,1-2H3	BZGCEXLIVXRKKX-UHFFFAOYSA-N	C4H7NO6	165.1015	false	false	
C4PAN6	O=N(=O)OOC(=O)C(O)C(=O)C	InChI=1S/C4H5NO7/c1-2(6)3(7)4(8)11-12-5(9)10/h3,7H,1H3	QRAIBPAZBCTEOB-UHFFFAOYSA-N	C4H5NO7	179.085	false	false	
C510O	O=CC(O)C(C)([O])CON(=O)=O	InChI=1S/C5H8NO6/c1-5(9,4(8)2-7)3-12-6(10)11/h2,4,8H,3H2,1H3	WSQDOSNUEMWIQG-UHFFFAOYSA-N	C5H8NO6	178.1201	false	false	
C510O2	O=CC(O)C(C)(O[O])CON(=O)=O	InChI=1S/C5H8NO7/c1-5(13-11,4(8)2-7)3-12-6(9)10/h2,4,8H,3H2,1H3	METATZMPYSTVQR-UHFFFAOYSA-N	C5H8NO7	194.1195	false	true	
C510OH	O=CC(O)C(C)(O)CON(=O)=O	InChI=1S/C5H9NO6/c1-5(9,4(8)2-7)3-12-6(10)11/h2,4,8-9H,3H2,1H3	ZCOZZYNQPKXJEJ-UHFFFAOYSA-N	C5H9NO6	179.1281	false	false	
